collection_id,collection_name,doi,pmid,pmcid,source,secondary_doi
3987,A comparative fMRI meta-analysis of altruistic and strategic decisions to give,10.1016/j.neuroimage.2018.09.009,30195947,,neurovault,
4743,Shared states: using MVPA to test neural overlap between self-focused emotion imagery and other-focused emotion understanding,10.1093/scan/nsx037,28475756,5490677,neurovault,
2566,Pavlovian conditioning–induced hallucinations result from overweighting of perceptual priors,10.1126/science.aan3458,28798131,5802347,neurovault,
1551,Brain responses to biological motion predict treatment outcome in young children with autism,10.1038/tp.2016.213,27845779,5314125,neurovault,
1858,Letting the good times roll: adolescence as a period of reduced inhibition to appetitive social cues,10.1093/scan/nsw096,27445208,5091687,neurovault,
1501,Disruption of Reward Processing in Addiction,10.1001/jamapsychiatry.2016.3084,28146248,,neurovault,
1929,Intensive Working Memory Training Produces Functional Changes in Large-scale Frontoparietal Networks,10.1162/jocn_a_00916,26741799,5724764,neurovault,
1998,Human Orbitofrontal Cortex Represents a Cognitive Map of State Space,10.1016/j.neuron.2016.08.019,27657452,5044873,neurovault,
2002,Semantically defined subdomains of functional neuroimaging literature and their corresponding brain regions,10.1002/hbm.24038,29575246,6866474,neurovault,
4211,What you see is what you eat: An ALE meta-analysis of the neural correlates of food viewing in children and adolescents,10.1016/j.neuroimage.2014.09.069,25285373,,neurovault,
2669,Dynamics of psychotherapy-related cerebral haemodynamic changes in obsessive compulsive disorder using a personalized exposure task in functional magnetic resonance imaging,10.1017/S0033291713002237,24001313,,neurovault,
1503,Maternal Exercise during Pregnancy Increases BDNF Levels and Cell Numbers in the Hippocampal Formation but Not in the Cerebral Cortex of Adult Rat Offspring,10.1371/journal.pone.0147200,26771675,4714851,neurovault,
1949,Temporal reliability of ultra-high field resting-state MRI for single-subject sensorimotor and language mapping,10.1016/j.neuroimage.2016.11.029,27864079,,neurovault,
1458,Large-Scale Meta-Analysis of Human Medial Frontal Cortex Reveals Tripartite Functional Organization,10.1523/JNEUROSCI.4402-15.2016,27307242,5015787,neurovault,
1634,In vivo delineation of subdivisions of the human amygdaloid complex in a high-resolution group template,10.1002/hbm.23289,27354150,5087325,neurovault,
1635,Mother still knows best: Maternal influence uniquely modulates adolescent reward sensitivity during risk taking,10.1111/desc.12484,29282834,5752112,neurovault,
3664,Intentionally not imitating: Insula cortex engaged for top-down control of action mirroring,10.1016/j.neuropsychologia.2018.01.037,29408525,,neurovault,
2009,A high-resolution in vivo atlas of the human brain's serotonin system,10.1523/JNEUROSCI.2830-16.2016,28053035,5214625,neurovault,
5731,Endogenous fluctuations in the dopaminergic midbrain drive behavioral choice variability,10.1073/pnas.1900872116,31451671,6744888,neurovault,
1636,Robust Resilience of the Frontotemporal Syntax System to Aging,10.1523/JNEUROSCI.4561-15.2016,27170120,4863058,neurovault,
2256,Dissociable Roles of Prefrontal and Anterior Cingulate Cortices in Deception,10.1093/cercor/bhi097,15858160,,neurovault,
1970,Fractionating the anterior temporal lobe: MVPA reveals differential responses to input and conceptual modality,10.1016/j.neuroimage.2016.11.067,27908787,5315053,neurovault,
4082,Impaired neural processing of transitive relations in children with math learning difficulty,10.1016/j.nicl.2018.10.020,30389345,6308383,neurovault,
1951,Large-scale Meta-analysis Suggests Low Regional Modularity in Lateral Frontal Cortex,10.1093/cercor/bhx204,28968758,6132286,neurovault,
2490,The integration of social influence and reward: Computational approaches and neural evidence,10.3758/s13415-017-0512-1,28540647,,neurovault,
1181,Brain networks for confidence weighting and hierarchical inference during probabilistic learning,10.1073/pnas.1615773114,28439014,5441722,neurovault,
1716,Emotional brain states carry over and enhance future memory formation,10.1038/nn.4468,28024158,,neurovault,
4083,Cytoarchitectonically-driven MRI atlas of nonhuman primate hippocampus: Preservation of subfield volumes in aging,10.1002/hipo.22809,29072793,5920786,neurovault,
2178,Multimodal image analysis of clinical influences on preterm brain development,10.1002/ana.24995,28719076,5601217,neurovault,
2715,Neural detection of socially valued community members,10.1073/pnas.1712811115,30038007,6094096,neurovault,
